order_id,order_date,customer_id,product_category,region,quantity,unit_price,discount,payment_method,delivery_days,customer_rating,revenue
10001,0,1102,0,2,7,373.65,0.28,2,10,4.7,1883.2
10002,154,1435,1,2,7,47.74,0.09,1,6,3.9,304.1
10003,308,1860,0,0,3,311.28,0.31,0,6,2.5,644.35
10004,350,1270,2,3,5,524.47,0.02,2,6,1.6,2569.9
10005,364,1106,1,3,5,139.87,0.33,2,4,4.9,468.56
10006,378,1071,2,3,2,264.44,0.2,1,3,3.3,423.1
10007,392,1700,1,2,6,564.6,0.23,1,1,1.8,2608.45
10008,406,1020,0,1,6,265.71,0.13,1,2,3.7,1387.01
10009,420,1614,1,2,6,224.65,0.27,1,2,1.4,983.97
10010,14,1121,1,3,4,272.71,0.06,1,10,4.5,1025.39
10011,28,1466,1,3,6,318.88,0.02,0,7,1.4,1875.01
10012,42,1214,2,3,3,384.71,0.14,0,11,1.9,992.55
10013,56,1330,0,2,7,483.41,0.3,0,6,1.4,2368.71
10014,70,1458,1,3,7,279.48,0.26,0,8,1.4,1447.71
10015,84,1087,1,0,4,493.23,0.18,1,9,3.1,1617.79
10016,98,1372,1,3,2,327.23,0.2,2,5,3.7,523.57
10017,112,1099,1,1,3,213.01,0.05,2,11,4.2,607.08
10018,126,1871,2,0,7,399.9,0.29,0,3,3.8,1987.5
10019,140,1663,3,3,3,434.87,0.28,2,4,2.5,939.32
10020,168,1130,2,0,7,341.46,0.23,1,11,3.2,1840.47
10021,182,1661,3,3,1,48.12,0.16,0,8,4.7,40.42
10022,196,1308,3,1,2,114.38,0.34,1,3,2.6,150.98
10023,210,1769,3,3,2,181.9,0.31,1,2,2.0,251.02
10024,224,1343,1,0,1,180.34,0.23,1,7,3.1,138.86
10025,238,1491,1,1,4,408.95,0.13,0,4,2.2,1423.15
10026,252,1413,2,2,7,25.73,0.22,1,8,2.0,140.49
10027,266,1805,3,1,7,457.07,0.2,0,1,4.1,2559.59
10028,280,1385,2,1,7,170.23,0.14,1,8,4.6,1024.78
10029,294,1191,1,1,6,196.36,0.11,2,5,3.0,1048.56
10030,322,1955,2,0,6,323.83,0.14,0,2,4.1,1670.96
10031,336,1276,2,1,6,141.32,0.2,1,1,1.7,678.34
10032,1630,1160,1,3,6,532.42,0.15,1,6,3.2,2715.34
10033,1784,1459,2,1,6,64.94,0.09,2,9,3.5,354.57
10034,1927,1313,3,1,1,274.96,0.27,1,9,3.0,200.72
10035,1941,1021,2,3,2,511.91,0.19,0,9,1.5,829.29
10036,1955,1252,2,3,4,375.27,0.02,0,11,3.9,1471.06
10037,1969,1747,1,2,3,186.01,0.13,1,4,4.4,485.49
10038,1983,1856,2,1,6,261.14,0.31,1,6,3.5,1081.12
10039,1997,1560,2,0,1,428.42,0.26,0,10,1.7,317.03
10040,2011,1474,3,1,7,584.36,0.11,1,6,1.3,3640.56
10041,1644,1058,2,1,4,537.49,0.33,1,5,2.2,1440.47
10042,1658,1510,3,3,4,215.32,0.03,1,2,1.1,835.44
10043,1672,1681,2,2,4,598.95,0.34,1,7,4.4,1581.23
10044,1686,1475,2,1,1,17.05,0.09,1,1,3.8,15.52
10045,1700,1699,3,0,3,31.16,0.0,2,6,3.3,93.48
10046,1714,1975,2,1,6,496.95,0.15,0,5,4.6,2534.44
10047,1728,1782,2,0,4,131.69,0.13,0,5,1.4,458.28
10048,1742,1189,1,3,1,50.55,0.19,1,8,3.9,40.95
10049,1756,1957,2,2,7,153.73,0.28,1,9,1.6,774.8
10050,1770,1686,3,1,2,264.27,0.29,2,7,1.2,375.26
10051,1798,1957,2,2,7,442.38,0.14,0,10,1.5,2663.13
10052,1812,1562,3,1,1,380.24,0.15,1,8,4.8,323.2
10053,1826,1875,0,0,1,154.01,0.05,1,2,2.8,146.31
10054,1840,1566,1,2,1,309.41,0.02,0,2,1.2,303.22
10055,1854,1243,0,1,4,556.84,0.22,2,8,3.3,1737.34
10056,1868,1831,1,3,1,491.78,0.02,1,6,1.8,481.94
10057,1882,1504,0,0,2,204.07,0.26,0,8,1.0,302.02
10058,1896,1130,2,2,4,589.62,0.19,0,9,4.0,1910.37
10059,1910,1484,3,1,7,429.54,0.07,2,9,1.6,2796.31
10060,2025,1818,1,2,2,51.53,0.19,2,11,4.8,83.48
10061,2179,1646,1,1,5,35.57,0.06,1,6,3.4,167.18
10062,2333,1020,1,0,7,113.52,0.15,0,8,1.3,675.44
10063,2375,1840,3,3,1,440.8,0.28,0,2,1.9,317.38
10064,2389,1166,2,0,6,122.49,0.16,0,8,3.4,617.35
10065,2403,1273,2,2,6,314.22,0.05,2,3,2.4,1791.05
10066,2417,1387,3,2,4,69.56,0.25,2,1,3.1,208.68
10067,2431,1600,3,1,6,553.72,0.07,1,7,4.2,3089.76
10068,2445,1315,0,0,7,216.22,0.26,1,1,4.2,1120.02
10069,2039,1013,3,1,4,546.26,0.17,0,11,3.8,1813.58
10070,2053,1241,0,0,7,567.75,0.16,1,1,4.5,3338.37
10071,2067,1776,3,2,1,18.59,0.3,1,1,1.8,13.01
